asset_type,route,source_file,slug,source_title_not_verified_claim,source_date,source_status,source_draft,source_published,program_group,review_status,indexing_policy,owner_role,verification_reference,inventory_date
blog,/blog/ai-voice-agent-security-data-privacy,apps/web/content/blog/ai-voice-agent-security-data-privacy.md,ai-voice-agent-security-data-privacy,AI Voice Agent Security and Data Privacy: A Buyer's Checklist,2026-03-19,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/ai-voice-agent-security-data-privacy.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agent-vs-call-center-bpo,apps/web/content/blog/ai-voice-agent-vs-call-center-bpo.md,ai-voice-agent-vs-call-center-bpo,AI Voice Agents vs Call Center BPO: Compare Service Responsibility and Cost,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agent-vs-call-center-bpo.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-accounting-tax-firms,apps/web/content/blog/ai-voice-agents-accounting-tax-firms.md,ai-voice-agents-accounting-tax-firms,AI Voice Agents for Accounting Firms: Client Intake and Document Follow-Up,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-accounting-tax-firms.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-beauty-salons-spas,apps/web/content/blog/ai-voice-agents-beauty-salons-spas.md,ai-voice-agents-beauty-salons-spas,AI Voice Agents for Salons and Spas: Service Choices and Booking Requests,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-beauty-salons-spas.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-dental-practices,apps/web/content/blog/ai-voice-agents-dental-practices.md,ai-voice-agents-dental-practices,AI Voice Agents for Dental Practices: Scheduling Requests and Recall Coordination,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-dental-practices.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-home-services,apps/web/content/blog/ai-voice-agents-home-services.md,ai-voice-agents-home-services,"AI Voice Agents for Home Services: Job Intake, Service Areas, and Dispatch Handoffs",2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-03.md; apps/web/content/blog/ai-voice-agents-home-services.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-insurance-companies,apps/web/content/blog/ai-voice-agents-insurance-companies.md,ai-voice-agents-insurance-companies,"AI Voice Agents for Insurance: Policy Service, Quote Intake, and Clear Handoffs",2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-04.md; apps/web/content/blog/ai-voice-agents-insurance-companies.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-law-firms,apps/web/content/blog/ai-voice-agents-law-firms.md,ai-voice-agents-law-firms,AI Voice Agents for Law Firms: Administrative Intake and Attorney Handoffs,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-04.md; apps/web/content/blog/ai-voice-agents-law-firms.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-property-management,apps/web/content/blog/ai-voice-agents-property-management.md,ai-voice-agents-property-management,AI Voice Agents for Property Management: Tenant Calls and Leasing Intake,2026-03-19,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/ai-voice-agents-property-management.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-restaurants,apps/web/content/blog/ai-voice-agents-restaurants.md,ai-voice-agents-restaurants,"AI Voice Agents for Restaurants: Reservations, Order Requests, and Staff Handoffs",2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-04.md; apps/web/content/blog/ai-voice-agents-restaurants.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-staffing-agencies,apps/web/content/blog/ai-voice-agents-staffing-agencies.md,ai-voice-agents-staffing-agencies,"AI Voice Agents for Staffing Agencies: Availability, Job Orders, and Assignment Handoffs",2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-04.md; apps/web/content/blog/ai-voice-agents-staffing-agencies.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-veterinary-clinics,apps/web/content/blog/ai-voice-agents-veterinary-clinics.md,ai-voice-agents-veterinary-clinics,AI Voice Agents for Veterinary Clinics: Administrative Calls and Clinical Handoffs,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-04.md; apps/web/content/blog/ai-voice-agents-veterinary-clinics.md evidenceReview,2026-09-06
blog,/blog/ai-voice-assistant-vs-ai-voice-agent,apps/web/content/blog/ai-voice-assistant-vs-ai-voice-agent.md,ai-voice-assistant-vs-ai-voice-agent,AI Voice Assistant vs AI Voice Agent: Compare Permissions and Outcomes,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-04.md; apps/web/content/blog/ai-voice-assistant-vs-ai-voice-agent.md evidenceReview,2026-09-06
blog,/blog/air-ai-alternatives,apps/web/content/blog/air-ai-alternatives.md,air-ai-alternatives,Air AI Alternatives: Verify the Provider and Plan a Voice-Agent Migration,2026-02-21,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-05.md; apps/web/content/blog/air-ai-alternatives.md evidenceReview,2026-09-06
blog,/blog/best-ai-voice-agent-platforms-2026,apps/web/content/blog/best-ai-voice-agent-platforms-2026.md,best-ai-voice-agent-platforms-2026,Best AI Voice Agent Platforms in 2026: A Business Buyer's Guide,2026-02-26,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/best-ai-voice-agent-platforms-2026.md evidenceReview,2026-09-06
blog,/blog/best-online-booking-systems-ai-voice,apps/web/content/blog/best-online-booking-systems-ai-voice.md,best-online-booking-systems-ai-voice,Choosing an Online Booking System for an AI Phone Workflow,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-05.md; apps/web/content/blog/best-online-booking-systems-ai-voice.md evidenceReview,2026-09-06
blog,/blog/bland-ai-alternatives,apps/web/content/blog/bland-ai-alternatives.md,bland-ai-alternatives,"Bland AI Alternatives: Compare Workflow Control, Handoffs, and Operating Cost",2026-02-25,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-05.md; apps/web/content/blog/bland-ai-alternatives.md evidenceReview,2026-09-06
blog,/blog/enterprise-ai-voice-platform-guide,apps/web/content/blog/enterprise-ai-voice-platform-guide.md,enterprise-ai-voice-platform-guide,"Enterprise AI Voice Platform Evaluation: Requirements, Evidence, and Operating Ownership",2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-05.md; apps/web/content/blog/enterprise-ai-voice-platform-guide.md evidenceReview,2026-09-06
blog,/blog/free-ai-appointment-scheduling-tools,apps/web/content/blog/free-ai-appointment-scheduling-tools.md,free-ai-appointment-scheduling-tools,Free AI Appointment Scheduling Tools: What Is Actually Free?,2026-03-19,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/free-ai-appointment-scheduling-tools.md evidenceReview,2026-09-06
blog,/blog/how-to-automate-phone-calls-ai,apps/web/content/blog/how-to-automate-phone-calls-ai.md,how-to-automate-phone-calls-ai,How to Automate Phone Calls with AI: From Workflow Brief to Tested Pilot,2026-02-27,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-05.md; apps/web/content/blog/how-to-automate-phone-calls-ai.md evidenceReview,2026-09-06
blog,/blog/how-to-migrate-ivr-to-ai-voice-agents,apps/web/content/blog/how-to-migrate-ivr-to-ai-voice-agents.md,how-to-migrate-ivr-to-ai-voice-agents,"How to Migrate IVR to AI Voice Agents: Routing, Pilot Gates, and Rollback",2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-05.md; apps/web/content/blog/how-to-migrate-ivr-to-ai-voice-agents.md evidenceReview,2026-09-06
blog,/blog/inbound-vs-outbound-ai-voice-agents,apps/web/content/blog/inbound-vs-outbound-ai-voice-agents.md,inbound-vs-outbound-ai-voice-agents,Inbound vs Outbound AI Voice Agents: Choose the First Workflow,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-06.md; apps/web/content/blog/inbound-vs-outbound-ai-voice-agents.md evidenceReview,2026-09-06
blog,/blog/multi-language-ai-voice-agents,apps/web/content/blog/multi-language-ai-voice-agents.md,multi-language-ai-voice-agents,Multilingual AI Voice Agents: Validate Languages Across the Whole Call,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-06.md; apps/web/content/blog/multi-language-ai-voice-agents.md evidenceReview,2026-09-06
blog,/blog/online-appointment-scheduling-ai-voice,apps/web/content/blog/online-appointment-scheduling-ai-voice.md,online-appointment-scheduling-ai-voice,Online Appointment Scheduling: Booking Links and AI Phone Workflows,2026-03-19,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-01.md; apps/web/content/blog/online-appointment-scheduling-ai-voice.md evidenceReview,2026-09-06
blog,/blog/quickvoice-vs-voiceflow,apps/web/content/blog/quickvoice-vs-voiceflow.md,quickvoice-vs-voiceflow,"QuickVoice vs Voiceflow: Source Ownership, Visual Workflows, and Deployment",2026-02-28,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-06.md; apps/web/content/blog/quickvoice-vs-voiceflow.md evidenceReview,2026-09-06
blog,/blog/retell-ai-alternatives,apps/web/content/blog/retell-ai-alternatives.md,retell-ai-alternatives,"Retell AI Alternatives: How to Compare Vapi, QuickVoice, and LiveKit",2026-02-22,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/retell-ai-alternatives.md evidenceReview,2026-09-06
blog,/blog/synthflow-alternatives,apps/web/content/blog/synthflow-alternatives.md,synthflow-alternatives,"Synthflow Alternatives: Compare Workflow Editing, Integrations, and Migration Scope",2026-02-23,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-06.md; apps/web/content/blog/synthflow-alternatives.md evidenceReview,2026-09-06
blog,/blog/vapi-alternatives,apps/web/content/blog/vapi-alternatives.md,vapi-alternatives,Vapi Alternatives: Compare Hosted Platforms and Open-Source Voice Agents,2026-02-24,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/vapi-alternatives.md evidenceReview,2026-09-06
blog,/blog/what-is-an-ai-voice-agent,apps/web/content/blog/week-01-what-is-ai-voice-agent.md,what-is-an-ai-voice-agent,What Is an AI Voice Agent? A Business Guide to How It Works,2026-03-02,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-01.md; apps/web/content/blog/week-01-what-is-ai-voice-agent.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agent-vs-ivr,apps/web/content/blog/week-02-ai-voice-agent-vs-ivr.md,ai-voice-agent-vs-ivr,AI Voice Agent vs IVR: Choose the Right Call-Handling Design,2026-03-09,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-06.md; apps/web/content/blog/week-02-ai-voice-agent-vs-ivr.md evidenceReview,2026-09-06
blog,/blog/deploy-ai-voice-agent-no-code,apps/web/content/blog/week-03-deploy-ai-voice-agent-no-code.md,deploy-ai-voice-agent-no-code,Deploy an AI Voice Agent Without Coding Every Step: What the Console Covers,2026-03-16,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-06.md; apps/web/content/blog/week-03-deploy-ai-voice-agent-no-code.md evidenceReview,2026-09-06
blog,/blog/ai-appointment-scheduling-guide,apps/web/content/blog/week-04-ai-appointment-scheduling-guide.md,ai-appointment-scheduling-guide,AI Appointment Scheduling: A Practical Guide for Business Teams,2026-03-23,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/week-04-ai-appointment-scheduling-guide.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-reduce-customer-support-costs,apps/web/content/blog/week-05-ai-reduce-customer-support-costs.md,ai-voice-agents-reduce-customer-support-costs,Can AI Voice Agents Reduce Customer Support Costs? A Practical Worksheet,2026-03-30,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/week-05-ai-reduce-customer-support-costs.md evidenceReview,2026-09-06
blog,/blog/hipaa-compliant-ai-voice-agents,apps/web/content/blog/week-06-hipaa-compliant-ai-voice-agents.md,hipaa-compliant-ai-voice-agents,HIPAA-Compliant AI Voice Agents: What Healthcare Practices Need to Know (2026),2026-04-06,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-voice-agents-real-estate,apps/web/content/blog/week-07-ai-voice-agents-real-estate.md,ai-voice-agents-real-estate,"AI Voice Agents for Real Estate: Close More Leads, 24/7",2026-04-13,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-outbound-calling-replacing-sdr-cold-calls,apps/web/content/blog/week-08-ai-outbound-calling-replacing-sdr-cold-calls.md,ai-outbound-calling-replacing-sdr-cold-calls,How AI Outbound Calling Is Replacing SDR Cold Calls in 2026,2026-04-20,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-vs-human-agents-cost-comparison,apps/web/content/blog/week-09-ai-vs-human-agents-cost-comparison.md,ai-vs-human-agents-cost-comparison,AI vs Human Agents: Compare the Full Cost of a Calling Workflow,2026-04-27,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-01.md; apps/web/content/blog/week-09-ai-vs-human-agents-cost-comparison.md evidenceReview,2026-09-06
blog,/blog/automated-appointment-reminders-guide,apps/web/content/blog/week-10-automated-appointment-reminders-guide.md,automated-appointment-reminders-guide,"Automated Appointment Reminders: Calls, Confirmations, and Follow-Up",2026-05-04,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/week-10-automated-appointment-reminders-guide.md evidenceReview,2026-09-06
blog,/blog/ai-phone-agents-automotive-dealerships,apps/web/content/blog/week-11-ai-phone-agents-automotive-dealerships.md,ai-phone-agents-automotive-dealerships,How Automotive Dealerships Use AI Phone Agents to Convert More Leads,2026-05-11,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/what-is-conversational-ai,apps/web/content/blog/week-12-what-is-conversational-ai.md,what-is-conversational-ai,What Is Conversational AI? (And How Is It Different from Chatbots?),2026-05-18,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-voice-agents-ecommerce,apps/web/content/blog/week-13-ai-voice-agents-ecommerce.md,ai-voice-agents-ecommerce,AI Voice Agents for E-Commerce: Automate Returns and Order Tracking,2026-05-25,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-voice-agents-b2b-lead-qualification,apps/web/content/blog/week-14-ai-lead-qualification-b2b-sales.md,ai-voice-agents-b2b-lead-qualification,AI Voice Agents for B2B Lead Qualification: A Practical Workflow,2026-06-01,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/week-14-ai-lead-qualification-b2b-sales.md evidenceReview,2026-09-06
blog,/blog/build-ai-voice-agent-small-business,apps/web/content/blog/week-15-build-ai-voice-agent-small-business.md,build-ai-voice-agent-small-business,How to Build an AI Voice Agent for Your Small Business,2026-06-08,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/week-15-build-ai-voice-agent-small-business.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agents-financial-services,apps/web/content/blog/week-16-ai-voice-agents-financial-services.md,ai-voice-agents-financial-services,"AI Voice Agents for Financial Services: Compliance, Security, and Scale",2026-06-15,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-08.md,2026-09-06
blog,/blog/ai-debt-collection-calls,apps/web/content/blog/week-17-ai-debt-collection-calls.md,ai-debt-collection-calls,How AI Handles Debt Collection Calls Ethically and Effectively,2026-06-22,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-08.md,2026-09-06
blog,/blog/roi-replacing-receptionist-ai-voice-agent,apps/web/content/blog/week-18-roi-replacing-receptionist-ai.md,roi-replacing-receptionist-ai-voice-agent,The ROI of Replacing Your Receptionist with an AI Voice Agent,2026-06-29,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-08.md,2026-09-06
blog,/blog/ai-voice-agents-hr-recruiting,apps/web/content/blog/week-19-ai-hr-recruiting-phone-screening.md,ai-voice-agents-hr-recruiting,AI Voice Agents for HR and Recruiting: Automate Screening Calls,2026-07-06,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-08.md,2026-09-06
blog,/blog/elevenlabs-vs-deepgram-voice-ai,apps/web/content/blog/week-20-elevenlabs-vs-deepgram.md,elevenlabs-vs-deepgram-voice-ai,ElevenLabs vs Deepgram: How to Evaluate Speech for Business Calls,2026-07-13,,false,true,backlog,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,review-batch-01.md; apps/web/content/blog/week-20-elevenlabs-vs-deepgram.md evidenceReview,2026-09-06
blog,/blog/connect-ai-voice-agent-hubspot,apps/web/content/blog/week-21-connect-ai-voice-hubspot.md,connect-ai-voice-agent-hubspot,How to Connect AI Voice Agents to HubSpot (Step by Step),2026-07-20,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-08.md,2026-09-06
blog,/blog/ai-voice-agents-logistics,apps/web/content/blog/week-22-ai-voice-agents-logistics.md,ai-voice-agents-logistics,AI Voice Agents for Logistics: Automate Carrier and Shipment Calls,2026-07-27,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-08.md,2026-09-06
blog,/blog/10-ai-voice-agent-use-cases-healthcare,apps/web/content/blog/week-23-10-healthcare-ai-voice-use-cases.md,10-ai-voice-agent-use-cases-healthcare,10 Best AI Voice Agent Use Cases in Healthcare (2026),2026-08-03,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-09.md,2026-09-06
blog,/blog/ai-phone-agents-handle-objections,apps/web/content/blog/week-24-ai-phone-agents-handle-objections.md,ai-phone-agents-handle-objections,How AI Phone Agents Handle Objections Better Than Junior Reps,2026-08-10,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-09.md,2026-09-06
blog,/blog/what-is-voice-cloning-ai-agents,apps/web/content/blog/week-25-what-is-voice-cloning-ai.md,what-is-voice-cloning-ai-agents,What Is Voice Cloning and How Does It Work in AI Agents?,2026-08-17,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-09.md,2026-09-06
blog,/blog/ai-voice-agents-manufacturing,apps/web/content/blog/week-26-ai-voice-agents-manufacturing.md,ai-voice-agents-manufacturing,AI Voice Agents for Manufacturing: Automate Procurement and Support Calls,2026-08-24,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-09.md,2026-09-06
blog,/blog/quickvoice-vs-bland-ai,apps/web/content/blog/week-27-quickvoice-vs-bland-ai.md,quickvoice-vs-bland-ai,QuickVoice vs Bland AI: Full Comparison (2026),2026-08-31,,false,true,reviewed_backlog,reviewed,indexable_when_published,Content owner,docs/marketing/seo/review-batch-09.md,2026-09-06
blog,/blog/quickvoice-vs-vapi,apps/web/content/blog/week-28-quickvoice-vs-vapi.md,quickvoice-vs-vapi,QuickVoice vs Vapi: Which AI Voice Platform Is Right for You? (2026),2026-09-07,,false,true,reviewed_backlog,reviewed_draft_pending_publication_review,scheduled_noindex_until_publication_review,Content owner,docs/marketing/seo/review-batch-09.md,2026-09-06
blog,/blog/quickvoice-vs-synthflow,apps/web/content/blog/week-29-quickvoice-vs-synthflow.md,quickvoice-vs-synthflow,QuickVoice vs Synthflow: Feature-by-Feature Breakdown (2026),2026-09-14,,false,true,reviewed_backlog,reviewed_draft_pending_publication_review,scheduled_noindex_until_publication_review,Content owner,docs/marketing/seo/review-batch-10.md,2026-09-06
blog,/blog/quickvoice-vs-retell-ai,apps/web/content/blog/week-30-quickvoice-vs-retell-ai.md,quickvoice-vs-retell-ai,QuickVoice vs Retell AI: Head-to-Head Review (2026),2026-09-21,,false,true,reviewed_backlog,reviewed_draft_pending_publication_review,scheduled_noindex_until_publication_review,Content owner,docs/marketing/seo/review-batch-10.md,2026-09-06
blog,/blog/case-study-call-center-cost-reduction-ai-voice,apps/web/content/blog/week-31-case-study-call-center-cost-reduction.md,case-study-call-center-cost-reduction-ai-voice,Case Study: How Apex Home Services Reduced Call Center Costs by 62% with AI Voice,2026-09-28,,false,true,reviewed_backlog,reviewed_draft_pending_publication_review,scheduled_noindex_until_publication_review,Content owner,docs/marketing/seo/review-batch-10.md,2026-09-06
blog,/blog/state-of-ai-voice-agents-2026,apps/web/content/blog/week-32-state-of-ai-voice-agents-2026.md,state-of-ai-voice-agents-2026,"The State of AI Voice Agents in 2026: Statistics, Trends, and Market Data",2026-10-05,,false,true,reviewed_backlog,reviewed_draft_pending_publication_review,scheduled_noindex_until_publication_review,Content owner,docs/marketing/seo/review-batch-10.md,2026-09-06
blog,/blog/questions-before-buying-ai-voice-agent-platform,apps/web/content/blog/week-33-15-questions-before-buying-ai-voice-agent.md,questions-before-buying-ai-voice-agent-platform,15 Questions to Ask Before Buying an AI Voice Agent Platform,2026-10-12,,false,true,reviewed_backlog,reviewed_draft_pending_publication_review,scheduled_noindex_until_publication_review,Content owner,docs/marketing/seo/review-batch-10.md,2026-09-06
blog,/blog/how-to-write-scripts-for-ai-voice-agents,apps/web/content/blog/week-34-how-to-write-scripts-for-ai-voice-agents.md,how-to-write-scripts-for-ai-voice-agents,How to Write Scripts for AI Voice Agents That Actually Convert,2026-10-19,,false,true,reviewed_backlog,reviewed_draft_pending_publication_review,scheduled_noindex_until_publication_review,Content owner,docs/marketing/seo/review-batch-10.md,2026-09-06
